"ID","Sex","Treatment","Familiarity","Host","Status","Experiment","HostStrain","Line","Day","Wt","Pct"
10668,"M","1X","FAM","BALBM","Passaged","HK68BALB","BALB/C","L",0,24.3,1
10566,"F","1XP","FAM","BALBF","Passaged","HK68BALB","BALB/C","A+B+C+D",0,21,1
10636,"F","1XP","FAM","BALBF","Passaged","HK68BALB","BALB/C","A+B+C+D",0,23.3,1
105671,"F","1XP","FAM","BALBF","Passaged","HK68BALB","BALB/C","A+B+C+D",0,23.8,1
10450,"F","1XP","FAM","BALBF","Passaged","HK68BALB","BALB/C","A+B+C+D",0,19.3,1
10621,"F","1XP","FAM","BALBF","Passaged","HK68BALB","BALB/C","A+B+C+D",0,20.9,1
10631,"F","1XP","FAM","BALBF","Passaged","HK68BALB","BALB/C","A+B+C+D",0,22,1
10291,"M","1XP","FAM","BALBM","Passaged","HK68BALB","BALB/C","I+J+K+L",0,26.9,1
10460,"M","1XP","FAM","BALBM","Passaged","HK68BALB","BALB/C","I+J+K+L",0,27.6,1
10588,"M","1XP","FAM","BALBM","Passaged","HK68BALB","BALB/C","I+J+K+L",0,26.1,1
10617,"M","1XP","FAM","BALBM","Passaged","HK68BALB","BALB/C","I+J+K+L",0,27.8,1
10657,"M","1XP","FAM","BALBM","Passaged","HK68BALB","BALB/C","I+J+K+L",0,21,1
10658,"M","1XP","FAM","BALBM","Passaged","HK68BALB","BALB/C","I+J+K+L",0,25.3,1
10454,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","AB",0,22.7,1
10564,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","AB",0,20.3,1
10619,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","AB",0,21,1
10641,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","AB",0,19.9,1
10629,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","CD",0,21,1
10634,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","CD",0,20.8,1
10506,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","CD",0,22.1,1
10639,"F","2X","FAM","BALBF","Passaged","HK68BALB","BALB/C","CD",0,21.1,1
10271,"M","2X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJ",0,30.9,1
10329,"M","2X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJ",0,34.6,1
10656,"M","2X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJ",0,23.6,1
10582,"M","2X","FAM","BALBM","Passaged","HK68BALB","BALB/C","KL",0,25.1,1
10615,"M","2X","FAM","BALBM","Passaged","HK68BALB","BALB/C","KL",0,27.4,1
10569,"M","2X","FAM","BALBM","Passaged","HK68BALB","BALB/C","KL",0,28.7,1
10620,"F","4X","FAM","BALBF","Passaged","HK68BALB","BALB/C","ABCD",0,21.3,1
10635,"F","4X","FAM","BALBF","Passaged","HK68BALB","BALB/C","ABCD",0,19,1
10645,"F","4X","FAM","BALBF","Passaged","HK68BALB","BALB/C","ABCD",0,20.4,1
10646,"F","4X","FAM","BALBF","Passaged","HK68BALB","BALB/C","ABCD",0,19.9,1
10455,"F","4X","FAM","BALBF","Passaged","HK68BALB","BALB/C","ABCD",0,21.3,1
10630,"F","4X","FAM","BALBF","Passaged","HK68BALB","BALB/C","ABCD",0,22.3,1
10570,"M","4X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJKL",0,29,1
10292,"M","4X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJKL",0,29.3,1
10333,"M","4X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJKL",0,29.5,1
10338,"M","4X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJKL",0,39.1,1
10342,"M","4X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJKL",0,28.9,1
10616,"M","4X","FAM","BALBM","Passaged","HK68BALB","BALB/C","IJKL",0,27.6,1
10652,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,22.4,1
10662,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,19.8,1
10781,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,25,1
10785,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,19.6,1
10791,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,24.1,1
10797,"F","STOCK","FAM","BALBF","Unpassaged","HK68BALB","BALB/C","Stock",0,20.6,1
10682,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,26.1,1
10684,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,24.4,1
10685,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,24,1
10686,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,24.2,1
10687,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,24.5,1
10688,"M","STOCK","FAM","BALBM","Unpassaged","HK68BALB","BALB/C","Stock",0,24.3,1
10743,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E",0,21.3,1
10737,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","E",0,20.8,1
10768,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","F",0,20.2,1
10773,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","F",0,19.6,1
10753,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","G",0,20.1,1
10763,"F","1X","FAM","BL6F","Passaged","HK68BL6","C57BL/6","G",0,19.8,1
